 ,r,g,b
0,0.13212461009360502,0.02390807938081303,0.003960085310777076
1,0.5519875598825069,0.16268749051621104,0.08277408012716939
2,0.07514318561287921,0.07529600100000737,0.09257759568710898
3,0.061053453263607525,0.05757426680030687,0.004558194394648299
4,0.17575546413944004,0.1093738770000865,0.14930435569622644
5,0.1398706971896236,0.2468596600139411,0.17993723777160597
6,0.7119818269275322,0.11849828438614661,0.002970408973957538
7,0.04199321050458727,0.03325998283835167,0.1212268353824047
8,0.5811904893837275,0.04669945100043306,0.01859242117701418
9,0.047359665352593235,0.008671915629666495,0.020689257352578427
10,0.2656572861258525,0.28699906460813707,0.006777035786841236
11,0.6120689004126456,0.21314654635553035,0.00026069037267719433
12,0.009743496301915436,0.00774443754253387,0.06821451104632337
13,0.05300126454382395,0.14765750583207726,0.024092160280507667
14,0.4810102705675072,0.017596016526185494,0.0019995722147796604
15,0.592120972410318,0.32638714629713833,0.0010923334113348779
16,0.5123148239552809,0.04336473488183222,0.07701382832019431
17,0.0046072892240552,0.0860918022718449,0.1584140832017671
18,0.6732576361409173,0.43908169363741634,0.26375227798455775
19,0.4695071958083425,0.31567774269030485,0.20272409659939583
20,0.30054726815339045,0.20447141627953724,0.12838767384267877
21,0.13320150451956309,0.08433570143049333,0.05010050760780189
22,0.038929988265826575,0.022792534834078025,0.014341716833883756
23,0.005468836589897781,0.0032754945861477747,0.002070706368871335
